department;team;targeted_productivity;smv;over_time;incentive;idle_time;idle_men;no_of_style_change;no_of_workers;actual_productivity
finishing;4;0.75;5.13;960;0;0;0;0;8;0.734645833
sweing;3;0.7;30.1;0;40;0;0;1;58;0.700603448
sweing;9;0.7;18.79;4560;30;0;0;1;51;0.70009573
finishing;7;0.7;5.13;960;0;0;0;0;8;0.671875
finishing;10;0.8;3.94;960;0;0;0;0;8;0.64025
finishing;8;0.7;5.13;960;0;0;0;0;8;0.58
finishing;9;0.8;3.94;960;0;0;0;0;8;0.549791667
sweing;2;0.6;30.33;6840;0;0;0;1;57;0.328131579
sweing;10;0.7;19.68;5640;0;8;35;1;47;0.303574468
finishing;3;0.5;5.13;960;0;0;0;0;8;0.2565
sweing;8;0.65;29.4;4560;0;4.5;30;2;57;0.251399254
finishing;3;0.5;5.13;2880;0;0;0;0;12;0.81640625
sweing;12;0.8;15.26;1080;38;0;0;0;34;0.800711494
sweing;1;0.8;22.52;3840;63;0;0;0;57;0.800470513
sweing;4;0.8;30.1;7020;63;0;0;1;58.5;0.800094017
sweing;5;0.8;30.1;600;63;3.5;15;0;59.5;0.799982853
finishing;6;0.8;2.9;4320;0;0;0;0;18;0.785864198
sweing;6;0.75;18.79;3960;56;0;0;0;33;0.75065101
finishing;10;0.8;3.94;2400;0;0;0;0;10;0.733277778
finishing;2;0.8;5.13;3600;0;0;0;0;15;0.710125
sweing;3;0.7;30.1;6960;50;0;0;1;58;0.700603448
sweing;11;0.7;11.41;3480;30;0;0;2;58;0.700540441
sweing;8;0.7;29.4;6240;0;0;0;2;57;0.7
finishing;4;0.75;5.13;1920;0;0;0;0;8;0.684027778
finishing;8;0.7;5.13;1920;0;0;0;0;8;0.672135417
sweing;9;0.7;18.79;6120;30;0;0;1;51;0.638614379
finishing;5;0.75;5.13;1920;0;0;0;0;8;0.631354167
sweing;7;0.75;30.1;0;0;5;20;1;59;0.611140537
finishing;12;0.8;5.13;2160;0;0;0;0;9;0.609583333
sweing;2;0.65;30.33;6840;0;0;0;1;57;0.585315789
sweing;10;0.7;19.68;5760;0;0;0;1;48;0.249416667
finishing;3;0.5;5.13;1800;0;0;0;0;15;0.8721
finishing;6;0.8;2.9;960;0;0;0;0;8;0.8319375
finishing;2;0.8;5.13;4800;0;0;0;0;20;0.8300625
finishing;11;0.6;2.9;2880;0;0;0;0;12;0.805555556
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
sweing;4;0.8;30.1;5820;63;0;0;1;59;0.80000295
finishing;12;0.8;5.13;2400;0;0;0;0;10;0.78375
finishing;9;0.8;3.94;2400;0;0;0;0;10;0.753525
sweing;6;0.75;18.79;3960;45;0;0;0;33;0.75065101
finishing;1;0.8;3.94;2880;0;0;0;0;12;0.727349537
sweing;8;0.7;29.4;6840;40;0;0;2;57;0.700614035
sweing;2;0.7;30.33;6840;0;0;0;1;57;0.700605263
sweing;11;0.75;11.41;3480;0;0;0;2;58;0.672140805
sweing;9;0.7;18.79;3240;30;0;0;1;57;0.627011183
sweing;3;0.7;30.1;8160;33;0;0;2;58;0.626577778
sweing;10;0.7;21.25;6000;0;0;0;1;50;0.456875
sweing;7;0.75;30.1;6960;0;3.5;20;1;58;0.393548851
finishing;10;0.8;3.94;960;0;0;0;0;8;0.385791667
sweing;5;0.8;30.1;5700;0;4.5;25;0;60;0.307501459
finishing;7;0.7;5.13;960;0;0;0;0;8;0.283958333
finishing;10;0.8;3.94;2400;0;0;0;0;20;0.955791667
finishing;8;0.7;5.13;960;0;0;0;0;8;0.930416667
finishing;12;0.8;5.13;1080;0;0;0;0;9;0.9025
finishing;3;0.8;5.13;2160;0;0;0;0;18;0.87115
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
sweing;4;0.8;30.1;7140;38;0;0;1;59;0.800137255
sweing;5;0.8;30.1;7140;38;0;0;0;59;0.800137255
sweing;7;0.75;30.1;6960;45;0;0;1;58;0.750770115
sweing;6;0.75;18.79;3960;45;0;0;0;33;0.75065101
sweing;11;0.75;11.41;2820;0;0;0;2;58;0.750293939
sweing;2;0.7;30.33;2160;30;0;0;1;58;0.700623
sweing;8;0.7;29.4;6840;40;0;0;2;57;0.700614035
sweing;3;0.7;29.4;6960;30;0;0;2;58;0.700362069
sweing;9;0.7;18.79;6000;40;0;0;1;50;0.60128
sweing;10;0.7;21.25;6000;0;0;0;1;50;0.417916667
finishing;6;0.8;2.9;960;0;0;0;0;8;0.3715625
finishing;9;0.8;2.9;960;0;0;0;0;8;0.3715625
finishing;2;0.8;5.13;960;0;0;0;0;8;0.36871875
finishing;7;0.7;5.13;960;0;0;0;0;8;0.356458333
finishing;10;0.7;2.9;1800;0;0;0;0;15;0.902222222
finishing;3;0.8;4.6;1440;0;0;0;0;12;0.811388889
sweing;12;0.8;15.26;4080;50;0;0;0;34;0.800401961
sweing;5;0.8;30.1;7140;50;0;0;0;60;0.800137255
sweing;4;0.8;30.1;6480;50;0;0;1;59;0.800071839
finishing;8;0.7;4.6;960;0;0;0;0;8;0.791458333
sweing;7;0.75;30.1;5640;45;0;0;1;59;0.750727326
sweing;6;0.75;18.79;3360;45;0;0;0;33;0.75065101
sweing;11;0.75;11.61;3360;34;0;0;2;57;0.750437269
sweing;3;0.75;29.4;5340;45;0;0;2;60;0.750176991
finishing;6;0.75;2.9;1800;0;0;0;0;15;0.726933333
finishing;9;0.7;2.9;1800;0;0;0;0;15;0.726933333
sweing;2;0.7;30.33;1680;30;0;0;1;59;0.700623
sweing;8;0.7;29.4;4560;40;0;0;2;58;0.700518519
sweing;9;0.7;18.79;3000;30;0;0;1;52;0.700256795
finishing;11;0.7;2.9;960;0;0;0;0;8;0.5046875
sweing;10;0.7;21.25;6360;0;0;0;1;53;0.471108491
finishing;2;0.7;3.9;960;0;0;0;0;8;325
sweing;1;0.6;22.53;5040;0;0;0;1;42;0.268214286
sweing;9;0.75;18.79;6240;56;0;0;1;52;0.970816667
finishing;5;0.8;4.6;1080;0;0;0;0;9;0.902962963
finishing;3;0.8;4.6;2400;0;0;0;0;20;0.900833333
finishing;12;0.8;4.6;1800;0;0;0;0;15;0.899555556
finishing;10;0.7;2.9;1200;0;0;0;0;10;0.845833333
sweing;4;0.8;30.1;4080;50;0;0;1;59;0.800808642
sweing;12;0.8;15.26;4080;50;0;0;0;34;0.800401961
sweing;7;0.8;30.1;7080;50;0;0;2;59;0.800115819
sweing;6;0.75;18.79;3960;45;0;0;1;33;0.75065101
sweing;11;0.75;11.61;3360;45;0;0;0;57;0.750503571
sweing;3;0.75;29.4;6960;45;0;0;2;58;0.750206897
sweing;8;0.7;29.4;6960;30;0;0;1;58;0.700362069
sweing;2;0.7;30.33;3960;30;0;0;1;58;0.700069811
sweing;10;0.7;21.82;6240;0;0;0;2;52;0.700058333
finishing;7;0.75;4.6;960;0;0;0;0;8;0.676666667
finishing;8;0.7;4.6;960;0;0;0;0;8;0.658541667
sweing;5;0.8;30.1;1200;49;0;0;1;59;0.598792339
sweing;1;0.65;22.53;5040;0;0;0;1;42;0.581130952
finishing;2;0.7;3.9;960;0;0;0;0;8;0.440375
finishing;6;0.75;2.9;960;0;0;0;0;8;0.410833333
finishing;9;0.7;2.9;960;0;0;0;0;8;0.410833333
finishing;3;0.8;4.6;6300;0;0;0;0;15;0.921703704
finishing;5;0.8;4.6;7560;0;0;0;0;18;0.921604938
sweing;7;0.8;30.1;4080;50;0;0;1;59;0.800808642
sweing;11;0.8;11.61;2820;50;0;0;2;57;0.800516667
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
finishing;1;0.5;3.94;3360;0;0;0;0;8;0.768847222
sweing;6;0.75;18.79;3960;45;0;0;0;33;0.75065101
sweing;3;0.75;29.4;6840;45;0;0;2;57;0.750473684
sweing;9;0.75;18.79;5640;45;0;0;1;52;0.750371895
sweing;8;0.75;29.4;6960;56;0;0;2;58;0.750206897
sweing;10;0.7;21.82;3240;0;0;0;1;52;0.700251773
sweing;2;0.7;30.33;6960;0;0;0;1;58;0.66237931
finishing;12;0.8;4.6;3780;0;0;0;0;9;0.590617284
finishing;2;0.7;3.9;960;0;0;0;0;8;0.5565625
sweing;4;0.8;30.1;7080;32;0;0;2;59;0.495617514
sweing;5;0.35;27.48;6840;38;0;0;1;57;0.449964912
finishing;10;0.7;2.9;3360;0;0;0;0;8;0.410833333
finishing;9;0.75;2.9;960;0;0;0;0;8;0.4078125
sweing;1;0.35;26.66;6600;23;0;0;2;55;0.378895152
finishing;8;0.75;4.6;3360;0;0;0;0;8;0.376597222
finishing;6;0.75;2.9;3360;0;0;0;0;8;0.271875
finishing;3;0.8;4.6;6300;0;0;0;0;15;0.921703704
finishing;5;0.8;4.6;7560;0;0;0;0;18;0.921604938
sweing;11;0.8;11.61;0;50;0;0;2;58;0.800779018
sweing;12;0.8;15.26;1700;62;0;0;0;34;0.800260821
sweing;7;0.8;30.1;840;38;0;0;1;59;0.799982853
finishing;1;0.5;3.94;3360;0;0;0;0;8;0.768847222
sweing;3;0.75;29.4;4440;45;0;0;2;57;0.750716981
sweing;6;0.75;18.79;3960;45;0;0;0;33;0.75065101
sweing;8;0.75;29.4;4560;56;0;0;2;58;0.750425926
sweing;9;0.75;18.79;6240;45;0;0;1;52;0.750395513
sweing;10;0.7;21.82;6120;40;0;0;1;51;0.700236601
sweing;2;0.7;30.33;4560;0;0;0;1;58;0.700211111
finishing;12;0.8;4.6;3780;0;0;0;0;9;0.590617284
finishing;2;0.7;3.9;960;0;0;0;0;8;0.5565625
sweing;5;0.5;27.48;6840;30;0;0;1;57;0.550403509
sweing;1;0.5;26.66;6840;30;0;0;2;57;0.550349708
sweing;4;0.5;26.66;6960;23;0;0;2;58;0.500258046
finishing;10;0.7;2.9;3360;0;0;0;0;8;0.410833333
finishing;9;0.75;2.9;960;0;0;0;0;8;0.4078125
finishing;8;0.75;4.6;3360;0;0;0;0;8;0.376597222
finishing;6;0.75;2.9;3360;0;0;0;0;8;0.271875
finishing;3;0.8;4.6;10500;0;0;0;0;25;0.936355556
finishing;8;0.75;4.6;3360;0;0;0;0;8;0.813611111
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
sweing;8;0.75;29.4;6240;56;0;0;0;57;0.75075
sweing;6;0.75;18.79;3960;45;0;0;0;33;0.75065101
sweing;3;0.75;29.4;6840;45;0;0;0;57;0.750473684
sweing;9;0.75;18.79;6240;34;0;0;0;52;0.750395513
sweing;5;0.6;27.48;6720;38;0;0;0;56;0.707446429
sweing;10;0.7;21.82;5640;30;0;0;0;52;0.700236601
sweing;1;0.6;26.66;6840;38;0;0;0;57;0.700019883
sweing;2;0.7;30.33;1800;0;0;0;0;58;0.683550607
sweing;11;0.8;11.61;0;50;4;20;0;57;0.682433036
finishing;4;0.6;3.94;960;0;0;0;0;8;0.673083333
finishing;10;0.7;2.9;3360;0;0;0;0;8;0.664583333
sweing;4;0.6;26.66;6840;23;0;0;0;57;0.600239766
finishing;2;0.7;3.9;960;0;0;0;0;8;585
sweing;7;0.8;30.1;6960;0;3.5;15;0;58;0.579511494
finishing;1;0.6;3.94;3360;0;0;0;0;8;0.448722222
finishing;9;0.75;2.9;960;0;0;0;0;8;0.447083333
finishing;7;0.8;4.6;3360;0;0;0;0;8;0.350416667
finishing;2;0.7;3.9;1200;0;0;0;0;10;0.92885
finishing;3;0.8;4.6;10080;0;0;0;0;24;0.86037037
finishing;4;0.65;3.94;960;0;0;0;0;8;0.806879167
sweing;1;0.65;26.66;6840;65;0;0;0;57;0.800579532
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
finishing;9;0.75;2.9;1200;0;0;0;0;10;0.8004
sweing;11;0.8;11.61;0;50;0;0;0;57;0.800309211
sweing;3;0.8;29.4;4680;50;0;0;0;57;0.800149813
sweing;7;0.8;30.1;7080;0;0;0;0;59;0.800115819
finishing;8;0.75;4.6;3360;0;0;0;0;8;0.773333333
sweing;6;0.75;18.79;2880;34;0;0;0;33;0.750797009
sweing;8;0.75;29.4;6840;45;0;0;0;57;0.750473684
sweing;9;0.75;18.79;6240;45;0;0;0;52;0.750395513
sweing;4;0.65;26.66;6780;55;0;0;0;57;0.750254867
sweing;5;0.65;27.48;6720;34;0;0;0;56;0.700903571
sweing;10;0.7;21.82;3600;30;0;0;0;51;0.70013604
finishing;10;0.7;2.9;3360;0;0;0;0;8;0.632361111
finishing;12;0.8;4.6;3780;0;0;0;0;9;0.607654321
finishing;1;0.65;3.94;3360;0;0;0;0;8;0.537919444
finishing;7;0.8;4.6;3360;0;0;0;0;8;0.342361111
finishing;7;0.8;4.6;4200;0;0;0;0;10;0.999533333
finishing;3;0.8;4.6;6300;0;0;0;0;15;0.902962963
sweing;11;0.8;11.41;0;50;0;0;0;56;0.800701754
sweing;1;0.7;26.66;6960;60;0;0;0;58;0.800566092
sweing;12;0.8;15.26;4080;50;0;0;0;34;0.800401961
sweing;3;0.8;29.4;6840;50;0;0;0;57;0.800333333
sweing;7;0.8;30.1;7080;50;0;0;0;59;0.800115819
sweing;4;0.7;26.66;6960;50;0;0;0;58;0.750770115
sweing;8;0.75;29.4;6840;56;0;0;0;57;0.750473684
sweing;9;0.75;18.79;6240;34;0;0;0;52;0.750395513
sweing;6;0.75;20.2;3120;45;0;0;0;33;0.750212553
finishing;8;0.75;4.6;3360;0;0;0;0;8;0.702777778
sweing;5;0.7;27.48;6840;30;0;0;0;57;0.700659649
sweing;10;0.7;21.82;5040;30;0;0;0;51;0.699984417
finishing;12;0.8;4.6;3780;0;0;0;0;9;0.636049383
finishing;2;0.4;3.9;6300;0;0;0;0;15;0.567377778
finishing;1;0.7;3.94;3360;0;0;0;0;8;0.555430556
finishing;4;0.7;3.94;3360;0;0;0;0;8;0.555430556
finishing;10;0.7;2.9;3360;0;0;0;0;8;0.463194444
finishing;5;0.7;4.6;3360;0;0;0;0;8;0.354444444
finishing;6;0.75;2.9;3360;0;0;0;0;8;0.309333333
sweing;2;0.4;15.28;5400;0;6.5;30;1;45;0.30277037
finishing;3;0.8;4.6;1200;0;0;0;0;10;0.939166667
finishing;8;0.8;4.6;960;0;0;0;0;8;0.930416667
finishing;12;0.8;4.6;1080;0;0;0;0;9;0.885925926
finishing;9;0.75;2.9;960;0;0;0;0;8;0.83375
finishing;1;0.7;3.94;960;0;0;0;0;8;0.806879167
finishing;4;0.7;3.94;960;0;0;0;0;8;0.806058333
sweing;11;0.8;11.41;0;38;0;0;0;56;0.800701754
sweing;12;0.8;15.26;4080;50;0;0;0;34;0.800401961
sweing;3;0.8;29.4;6840;63;0;0;0;57;0.800333333
sweing;7;0.8;30.1;3960;50;0;0;0;59;0.800055762
sweing;4;0.7;26.82;6960;60;0;0;0;58;0.799975862
sweing;1;0.7;26.82;6960;50;0;0;0;58;0.750651724
sweing;9;0.75;18.79;6240;34;0;0;0;52;0.750395513
sweing;5;0.7;27.48;6960;40;0;0;0;58;0.700424138
sweing;10;0.7;21.82;5760;30;0;0;0;53;0.700058333
finishing;7;0.8;4.6;8400;0;0;0;0;20;0.684888889
finishing;5;0.7;4.6;960;0;0;0;0;8;0.592083333
finishing;2;0.5;3.9;960;0;0;0;0;8;0.5403125
sweing;8;0.8;29.4;6840;0;0;0;0;57;0.433263158
sweing;2;0.5;15.28;5520;0;0;0;1;46;0.404144928
sweing;6;0.75;18.79;3960;0;0;0;0;33;0.332146465
finishing;8;0.8;4.6;2640;0;0;0;0;22;0.980984848
finishing;2;0.6;3.9;960;0;0;0;0;8;0.950625
finishing;11;0.8;2.9;1200;0;0;0;0;10;0.927291667
finishing;12;0.8;4.6;1080;0;0;0;0;9;0.868888889
finishing;1;0.7;3.94;960;0;0;0;0;8;0.812625
finishing;4;0.7;3.94;960;0;0;0;0;8;0.812625
finishing;3;0.8;4.6;1800;0;0;0;0;15;0.810111111
sweing;11;0.8;11.41;3420;50;0;0;0;56;0.800701754
sweing;3;0.8;29.4;1800;63;0;0;0;57;0.800534979
sweing;12;0.8;15.26;4080;50;0;0;0;34;0.800401961
sweing;1;0.7;26.82;6960;50;0;0;0;58;0.750651724
sweing;9;0.75;18.79;6240;45;0;0;0;52;0.750395513
sweing;4;0.7;26.82;7080;50;0;0;0;59;0.750050847
sweing;5;0.7;27.48;6960;40;0;0;0;58;0.700424138
sweing;10;0.7;21.82;6000;30;0;0;0;50;0.700422
sweing;2;0.6;15.28;1320;0;0;0;1;46;0.600099145
finishing;9;0.75;2.9;960;0;0;0;0;8;0.453125
sweing;7;0.8;30.1;1200;0;4;40;0;59;0.366053523
sweing;6;0.35;22.53;2640;0;0;0;1;39;0.26369382
finishing;12;0.8;4.6;1080;0;0;0;0;9;0.868888889
sweing;12;0.8;15.26;4080;75;0;0;0;34;0.850520588
sweing;1;0.7;26.82;8160;70;0;0;0;58;0.850045
finishing;7;0.8;4.6;6000;0;0;0;0;25;0.825444444
finishing;5;0.35;3.94;2400;0;0;0;0;10;0.80575
sweing;4;0.7;26.82;6960;60;0;0;0;58;0.800746552
sweing;3;0.8;29.4;6840;63;0;0;1;57;0.800578947
sweing;11;0.8;11.41;3420;50;0;0;0;58;0.800034503
finishing;6;0.5;2.9;960;0;0;0;0;8;0.7975
sweing;9;0.75;18.79;3480;45;0;0;0;51;0.749987124
sweing;10;0.7;21.82;6000;30;0;0;0;50;0.700422
finishing;1;0.7;3.94;960;0;0;0;0;8;0.664875
finishing;4;0.7;3.94;960;0;0;0;0;8;0.664875
finishing;11;0.8;2.9;960;0;0;0;0;8;0.657083333
sweing;2;0.65;16.1;4200;0;0;0;1;45;0.65024031
finishing;8;0.8;4.6;3600;0;0;0;0;15;0.590740741
finishing;2;0.65;3.9;1920;0;0;0;0;8;0.528125
sweing;6;0.5;23.41;2280;0;0;0;1;39;0.500528095
sweing;5;0.7;27.48;6960;24;0;0;1;58;0.408960345
finishing;3;0.8;4.6;1440;0;0;0;0;12;0.951944444
finishing;12;0.8;4.6;1080;0;0;0;0;9;0.945555556
finishing;9;0.75;2.9;1080;0;0;0;0;9;0.929074074
finishing;1;0.75;3.94;960;0;0;0;0;8;0.890604167
finishing;4;0.75;3.94;960;0;0;0;0;8;0.890604167
finishing;2;0.7;3.9;1200;0;0;0;0;10;884
finishing;5;0.5;3.94;960;0;0;0;0;8;0.857916667
sweing;4;0.75;26.82;6840;65;0;0;0;57;0.850084211
sweing;1;0.75;26.82;6960;65;0;0;0;58;0.85007069
sweing;3;0.8;30.1;3360;50;0;0;1;57;0.800511068
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
sweing;11;0.8;11.41;3420;50;0;0;0;58;0.800034503
finishing;11;0.8;2.9;960;0;0;0;0;8;0.755208333
sweing;9;0.75;18.79;5640;45;0;0;0;52;0.750371895
sweing;10;0.7;21.82;6000;30;0;0;0;50;0.700422
sweing;2;0.7;16.1;4800;30;0;0;1;45;0.700106061
sweing;6;0.6;23.41;2520;23;0;0;1;38;0.601037091
sweing;8;0.6;30.48;6720;0;0;0;1;56;0.600528571
sweing;5;0.5;26.82;7080;23;0;0;1;59;0.500033898
finishing;8;0.6;3.9;960;0;0;0;0;8;0.4509375
finishing;10;0.7;2.9;960;0;0;0;0;8;0.441041667
finishing;6;0.6;2.9;960;0;0;0;0;8;0.271875
finishing;11;0.8;2.9;0;960;0;0;0;8;0.960625
finishing;12;0.8;4.6;0;1080;0;0;0;9;0.902962963
finishing;5;0.6;3.94;0;2880;0;0;0;12;0.864342593
sweing;4;0.75;26.82;7020;65;0;0;0;58;0.850446154
sweing;1;0.75;26.82;7140;65;0;0;0;59;0.850426891
finishing;9;0.75;2.9;0;3600;0;0;0;15;841
sweing;3;0.8;30.1;5160;50;0;0;1;58;0.800842424
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
sweing;11;0.8;11.41;3420;50;0;0;0;58;0.800034503
finishing;3;0.8;4.6;0;1440;0;0;0;12;0.795416667
finishing;4;0.75;3.94;0;960;0;0;0;8;0.7953875
finishing;1;0.75;3.94;0;960;0;0;0;8;0.794566667
sweing;9;0.75;18.79;6240;45;0;0;0;52;0.750395513
sweing;2;0.7;16.1;5520;30;0;0;1;45;0.700516224
sweing;10;0.7;21.82;6000;30;0;0;0;50;0.700422
finishing;2;0.7;3.9;0;1200;0;0;0;10;0.6825
sweing;6;0.65;23.41;4560;35;0;0;1;38;0.650962281
sweing;8;0.65;30.48;6720;26;0;0;1;56;0.650421429
sweing;5;0.6;26.82;7080;23;0;0;1;59;0.600040678
sweing;7;0.5;30.48;6600;0;0;0;1;55;0.500610909
finishing;10;0.7;2.9;0;960;0;0;0;8;0.477291667
finishing;8;0.65;3.9;0;960;0;0;0;8;0.2640625
finishing;12;0.8;4.6;1080;0;0;0;0;9;0.92
finishing;5;0.6;3.94;1440;0;0;0;0;12;0.909391667
sweing;1;0.75;26.82;7080;75;0;0;0;59;0.900061017
finishing;3;0.8;4.6;1440;0;0;0;0;12;0.894444444
finishing;4;0.75;3.94;960;0;0;0;0;8;0.881575
finishing;1;0.75;3.94;960;0;0;0;0;8;0.880754167
sweing;4;0.75;26.82;5880;65;0;0;0;59;0.850084211
finishing;9;0.75;2.9;1800;0;0;0;0;15;0.821666667
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
sweing;3;0.8;30.1;6960;63;0;0;1;58;0.800071839
sweing;11;0.8;11.41;3420;50;0;0;0;58;0.800034503
finishing;11;0.8;2.9;960;0;0;0;0;8;0.758229167
sweing;10;0.75;21.82;6000;34;0;0;0;50;0.750608
sweing;9;0.75;18.79;6240;45;0;0;0;52;0.750395513
finishing;2;0.7;3.9;960;0;0;0;0;8;741
sweing;8;0.7;30.48;6840;30;0;0;1;57;0.700505263
sweing;6;0.7;23.41;4560;30;0;0;1;38;0.700246491
sweing;2;0.7;16.1;5400;40;0;0;1;45;0.700051852
sweing;5;0.65;26.82;7080;26;0;0;1;59;0.650044068
sweing;7;0.6;30.48;6840;25;0;0;1;57;0.630402924
finishing;8;0.65;3.9;960;0;0;0;0;8;0.560625
finishing;7;0.5;3.9;960;0;0;0;0;8;0.560625
finishing;10;0.7;2.9;960;0;0;0;0;8;0.39875
finishing;12;0.8;4.6;2160;0;0;0;0;9;0.922839506
finishing;11;0.8;2.9;2400;0;0;0;0;10;0.874027778
finishing;2;0.75;3.9;1920;0;0;0;0;8;0.819270833
finishing;4;0.75;3.94;1920;0;0;0;0;8;0.813309028
finishing;1;0.75;3.94;1920;0;0;0;0;8;0.812625
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
sweing;3;0.8;30.1;6960;63;0;0;1;58;0.800071839
sweing;11;0.8;11.41;3420;50;0;0;0;58;0.800034503
finishing;3;0.8;4.6;1920;0;0;0;0;8;0.786631944
finishing;5;0.7;3.94;1440;0;0;0;0;12;0.75885
sweing;10;0.75;21.82;6000;34;0;0;0;50;0.750608
sweing;9;0.75;18.79;5040;45;0;0;0;52;0.750347333
sweing;2;0.75;16.1;5400;45;0;0;1;45;0.750140741
sweing;1;0.75;26.82;7080;45;0;0;0;59;0.750050847
sweing;4;0.75;26.82;7080;45;0;0;0;59;0.750050847
sweing;5;0.7;26.82;6960;30;0;0;1;58;0.700556897
sweing;8;0.7;30.48;6840;30;0;0;1;57;0.700505263
sweing;6;0.7;23.41;4560;40;0;0;1;38;0.700246491
sweing;7;0.65;30.48;6840;26;0;0;1;57;0.650596491
finishing;10;0.75;2.9;960;0;0;0;0;8;0.628333333
finishing;8;0.7;3.9;960;0;0;0;0;8;0.625625
finishing;7;0.65;3.9;960;0;0;0;0;8;0.625625
finishing;9;0.75;2.9;1800;0;0;0;0;15;0.505888889
finishing;6;0.7;2.9;720;0;0;0;0;6;0.394722222
